Feed name,Feed Id,Customer Id,Upload time
"Black Friday Promotions 2025","406579615","102535465","Nov 18, 2025, 12:02 pm GMT"

Item Id,Line number,Message,Type,Values,Item title
"1020937",,"Offer does not exist",Error,,
"1030161",,"Offer does not exist",Error,,
"1011596",,"Offer does not exist",Error,,
"1200959",,"Offer does not exist",Error,,
"1203071",,"Offer does not exist",Error,,
"1018240",,"Offer does not exist",Error,,
"1203180",,"Offer does not exist",Error,,
"1202134",,"Offer does not exist",Error,,
"1201884",,"Offer does not exist",Error,,
"1029229",,"Offer does not exist",Error,,
"1202202",,"Offer does not exist",Error,,
"1204822",,"Offer does not exist",Error,,
"1203932",,"Offer does not exist",Error,,
"1020855",,"Offer does not exist",Error,,
"1201741",,"Offer does not exist",Error,,
"1203148",,"Offer does not exist",Error,,
"1204073",,"Offer does not exist",Error,,
"1203108",,"Offer does not exist",Error,,
"1203139",,"Offer does not exist",Error,,
"1029461",,"Offer does not exist",Error,,
"1204401",,"Offer does not exist",Error,,
"1200656",,"Offer does not exist",Error,,
"1204183",,"Offer does not exist",Error,,
"1205234",,"Offer does not exist",Error,,
"1203078",,"Offer does not exist",Error,,
"1200768",,"Offer does not exist",Error,,
"1204423",,"Offer does not exist",Error,,
"1017641",,"Offer does not exist",Error,,
"1205025",,"Offer does not exist",Error,,
"1029905",,"Offer does not exist",Error,,
"1029249",,"Offer does not exist",Error,,
"1204138",,"Offer does not exist",Error,,
"1203494",,"Offer does not exist",Error,,
"1203950",,"Offer does not exist",Error,,
"1204439",,"Offer does not exist",Error,,
"1029798",,"Offer does not exist",Error,,
"1202442",,"Offer does not exist",Error,,
"1202787",,"Offer does not exist",Error,,
"1203837",,"Offer does not exist",Error,,
"1200900",,"Offer does not exist",Error,,
"1205137",,"Offer does not exist",Error,,
"1020820",,"Offer does not exist",Error,,
"1205006",,"Offer does not exist",Error,,
"1029995",,"Offer does not exist",Error,,
"1201685",,"Offer does not exist",Error,,
"1203081",,"Offer does not exist",Error,,
"1204230",,"Offer does not exist",Error,,
"1201706",,"Offer does not exist",Error,,
"1201792",,"Offer does not exist",Error,,
"1004622",,"Offer does not exist",Error,,
"1202701",,"Offer does not exist",Error,,
"1011801",,"Offer does not exist",Error,,
"1201800",,"Offer does not exist",Error,,
"1029985",,"Offer does not exist",Error,,
"1203138",,"Offer does not exist",Error,,
"1204227",,"Offer does not exist",Error,,
"1030148",,"Offer does not exist",Error,,
"1204226",,"Offer does not exist",Error,,
"1203420",,"Offer does not exist",Error,,
"1203842",,"Offer does not exist",Error,,
"1200945",,"Offer does not exist",Error,,
"1205017",,"Offer does not exist",Error,,
"1201786",,"Offer does not exist",Error,,
"1204255",,"Offer does not exist",Error,,
"1029233",,"Offer does not exist",Error,,
"1203454",,"Offer does not exist",Error,,
"1205240",,"Offer does not exist",Error,,
"1205245",,"Offer does not exist",Error,,
"1028360",,"Offer does not exist",Error,,
"1030135",,"Offer does not exist",Error,,
"1028834",,"Offer does not exist",Error,,
"1203582",,"Offer does not exist",Error,,
"1202024",,"Offer does not exist",Error,,
"1204151",,"Offer does not exist",Error,,
"1204988",,"Offer does not exist",Error,,
"1200938",,"Offer does not exist",Error,,
"1203110",,"Offer does not exist",Error,,
"1202140",,"Offer does not exist",Error,,
"1006302",,"Offer does not exist",Error,,
"1200933",,"Offer does not exist",Error,,
"1204358",,"Offer does not exist",Error,,
"1030153",,"Offer does not exist",Error,,
"1029982",,"Offer does not exist",Error,,
"1025463",,"Offer does not exist",Error,,
"1205188",,"Offer does not exist",Error,,
"1201834",,"Offer does not exist",Error,,
"1201875",,"Offer does not exist",Error,,
"1204105",,"Offer does not exist",Error,,
"1204101",,"Offer does not exist",Error,,
"1204757",,"Offer does not exist",Error,,
"1204200",,"Offer does not exist",Error,,
"1201812",,"Offer does not exist",Error,,
"1029386",,"Offer does not exist",Error,,
"1012472",,"Offer does not exist",Error,,
"1202818",,"Offer does not exist",Error,,
"1011512",,"Offer does not exist",Error,,
"1029971",,"Offer does not exist",Error,,
"1205032",,"Offer does not exist",Error,,
"1204261",,"Offer does not exist",Error,,
"1203835",,"Offer does not exist",Error,,
