Campaign Name,Campaign Status,Asset Group Name,Asset Group Status,Landing Page URL(s),Impressions,Clicks,Conversions,Conv Value (£),Cost (£),ROAS
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,378,7,0.0,£0.00,£3.66,0.00
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/degrees-interior-design,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,507,4,0.0,£0.00,£5.05,0.00
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Interior Design Diploma - Jobs,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Remarketing,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/courses/degrees-interior-design,3413,142,5.0,£4.00,£155.79,0.03
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Remarketing,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,9868,184,2.980736,£1401.67,£23.65,59.27
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,14054,511,2.0,£2.00,£194.64,0.01
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,16947,123,0.0,£0.00,£126.42,0.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Competitors - Non UK,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Remarketing UAE,ENABLED,https://www.nda.ac.uk/study/courses/diploma-interior-design/,5077,33,0.0,£0.00,£16.03,0.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,129,6,0.0,£0.00,£0.77,0.00
