Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
https://www.nda.ac.uk/blog/former-nda-student-has-a-unique-take-on-traditional-interior-design-services/,19,6,31.58%,0.0,0.00%,£1.24,£0.00,0.00
https://www.nda.ac.uk/pid-interior-design-courses/,87,9,10.34%,0.0,0.00%,£24.13,£0.00,0.00
https://www.nda.ac.uk/study/student-loans/,642,32,4.98%,0.0,0.00%,£71.23,£0.00,0.00
https://www.nda-copy.nda.ac.uk/study/graduation/,2,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/student-case-study-ba-hons-interior-design-degree/,4,1,25.00%,0.0,0.00%,£0.87,£0.00,0.00
https://www.nda.ac.uk/study/progression-scholarships/,25,3,12.00%,0.0,0.00%,£7.34,£0.00,0.00
https://www.nda.ac.uk/blog/this-interior-design-book-will-change-your-life/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/retail-design-degree,4854,428,8.82%,0.0,0.00%,£1085.82,£0.00,0.00
https://www.nda.ac.uk/blog/category/become-an-interior-designer-hints-tips/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/the-national-design-academy-in-dubai/,2,1,50.00%,0.0,0.00%,£6.25,£0.00,0.00
https://www.nda.ac.uk/study/uk-students/,137,13,9.49%,0.0,0.00%,£57.87,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma-interior-design/,1191,12,1.01%,0.0,0.00%,£2.35,£0.00,0.00
https://motorsport.nda.ac.uk/news/5-best-things-about-online-learning-motorsport/,41,8,19.51%,0.0,0.00%,£12.97,£0.00,0.00
https://www.nda.ac.uk/online-learning/,342,16,4.68%,0.0,0.00%,£35.79,£0.00,0.00
https://www.nda.ac.uk/success-stories/?utm_source=SITELINK&utm_medium=CPC&utm_campaign=SITELINK&utm_term=NA&utm_content=SITELINK,99018,117,0.12%,0.0,0.00%,£104.60,£0.00,0.00
https://www.nda.ac.uk/autocad-sketchup-photoshop-interior-design-course-dubai/,93,4,4.30%,0.0,0.00%,£2.25,£0.00,0.00
https://www.nda.ac.uk/study/course-fees,1119,10,0.89%,0.0,0.00%,£13.37,£0.00,0.00
https://www.nda.ac.uk/blog/the-art-of-sketching-in-interior-design/,38,3,7.89%,0.0,0.00%,£0.70,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma/curtain-making-and-soft-furnishings/,252,21,8.33%,0.0,0.00%,£13.67,£0.00,0.00
