Campaign Name,Campaign Status,Asset Group Name,Asset Group Status,Landing Page URL(s),Impressions (90d),Clicks (90d),Conversions (90d),Conv Value (£),Cost (£),ROAS
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,629010,9652,24.4,£2350.87,£2349.34,1.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,531379,2553,2.039832,£3563.49,£2186.99,1.63
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Competitors - Non UK,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Remarketing UAE,ENABLED,https://www.nda.ac.uk/study/courses/diploma-interior-design/,274974,1150,3.25833,£2.61,£834.15,0.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,2356570,11163,0.0,£0.00,£1307.98,0.00
