the fells,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,26,0,26, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel menu,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,5,0,5, +∞,13,0,13, +∞,GBP,0.97,0.00,0.97, +∞,38.46%, --,38.46%, +∞,0.19,0,0.19, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fell hotel burnsall,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,90,61,29, +47.54%,455,151,304, +201.32%,GBP,62.98,44.62,18.36, +41.15%,19.78%,40.40%,-20.62%,-51.04%,0.70,0.73,-0.03,-4.33%,1.00,0.00,1.00, +∞,62.98,0.00,62.98, +∞,1.11%,0.00%,1.11%, +∞,269.01,0.00,269.01, +∞,4.27,0.00,4.27, +∞, --, --,0.00%,0.00%
fellows house cambridge,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,2,0,2, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel bolton abbey,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,50,0,50, +∞,281,0,281, +∞,GBP,29.32,0.00,29.32, +∞,17.79%, --,17.79%, +∞,0.59,0,0.59, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
scaw fell cottage,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,0,1,-1,-100.00%,GBP,0.00,0.00,0.00,0.00%, --,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
devonshirehotels co uk,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,1,1,0,0.00%,22,7,15, +214.29%,GBP,1.03,4.51,-3.48,-77.16%,4.55%,14.29%,-9.74%,-68.18%,1.03,4.51,-3.48,-77.16%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
dodd fell hill,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,0,1,-1,-100.00%,GBP,0.00,0.00,0.00,0.00%, --,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel burnsall,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,186,18,168, +933.33%,978,82,896, +1092.68%,GBP,117.97,11.47,106.50, +928.48%,19.02%,21.95%,-2.93%,-13.36%,0.63,0.64,-0.00,-0.47%,4.92,0.00,4.92, +∞,23.99,0.00,23.99, +∞,2.64%,0.00%,2.64%, +∞,"1,857.45",0.00,"1,857.45", +∞,15.75,0.00,15.75, +∞, --, --,0.00%,0.00%
the fell hotel,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,202,17,185, +1088.24%,"1,184",51,"1,133", +2221.57%,GBP,113.23,13.85,99.38, +717.55%,17.06%,33.33%,-16.27%,-48.82%,0.56,0.81,-0.25,-31.20%,0.43,0.00,0.43, +∞,260.96,0.00,260.96, +∞,0.21%,0.00%,0.21%, +∞,274.88,0.00,274.88, +∞,2.43,0.00,2.43, +∞, --, --,0.00%,0.00%
burnsall fell hotel,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,9,12,-3,-25.00%,43,31,12, +38.71%,GBP,4.31,5.16,-0.85,-16.47%,20.93%,38.71%,-17.78%,-45.93%,0.48,0.43,0.05, +11.37%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fell hotels,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,2,0,2, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel photos,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,6,0,6, +∞,30,0,30, +∞,GBP,0.85,0.00,0.85, +∞,20.00%, --,20.00%, +∞,0.14,0,0.14, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fell beck cottage burnsall,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,1,0,1, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel prices,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,4,0,4, +∞,20,0,20, +∞,GBP,3.18,0.00,3.18, +∞,20.00%, --,20.00%, +∞,0.79,0,0.79, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
hotel fell,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,3,0,3, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel burnsall skipton,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,1,0,1, +∞,2,0,2, +∞,GBP,0.06,0.00,0.06, +∞,50.00%, --,50.00%, +∞,0.06,0,0.06, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
res devonshirehotels co uk,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,4,4,0,0.00%,12,6,6, +100.00%,GBP,2.99,12.17,-9.18,-75.43%,33.33%,66.67%,-33.33%,-50.00%,0.75,3.04,-2.29,-75.43%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fell hotel bolton abbey,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,6,0,6, +∞,26,0,26, +∞,GBP,3.35,0.00,3.35, +∞,23.08%, --,23.08%, +∞,0.56,0,0.56, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
burnsall fell race,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,14,3,11, +366.67%,GBP,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fell hotel,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,33,6,27, +450.00%,186,12,174, +1450.00%,GBP,11.89,1.47,10.42, +708.91%,17.74%,50.00%,-32.26%,-64.52%,0.36,0.25,0.12, +47.07%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
www devonshirefell co uk,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,1,0,1, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel location,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,4,0,4, +∞,22,0,22, +∞,GBP,7.12,0.00,7.12, +∞,18.18%, --,18.18%, +∞,1.78,0,1.78, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
