Search Term,Campaign Name,Campaign Type,Clicks
fort tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,62
get super space,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,536
fort building magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,109
superspace coupon,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,2
fort building kit for kids,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,28
building tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,17
giant magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,521
life size magna tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,8
play tents for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,8
large building tiles for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,25
play fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,43
magnetic fort tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,829
life size magnatiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,15
get superspace,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,360
magnetic building blocks,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,89
giant magna tiles,SUP | US | Search | Generics 650 4/5  Trial 142,Search,26
build a fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,94
fort builder,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,111
building tiles for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,48
large magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,96
fort set for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,8
large magnetic tiles to build forts,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,34
best indoor playhouse,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,3
superspace build ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,41
magnetic forts,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,26
fort building toy,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,16
magnet tile fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,7
magnet giant,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,1
super space giant magnetic tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,18
superspace fort,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,160
big magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,55
funphix,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,13
superspace tiles reviews,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,2
huge magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,37
the big set superspace,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,12
fort blocks for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,21
super space tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,111
superspace tiles alternative,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,28
big magna tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,96
space fort,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,26
giant building blocks,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,33
magnetic fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,244
magnetic fort panels,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,38
magnetic fort building kit,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,38
magnetic tile fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,17
magnet building blocks,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,20
life size magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,1027
super space tiles ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,12
super space tiles reviews,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,6
superspace reviews,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,14
indoor fort for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,41
kids building tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,17
super space,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,2408
super space magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,56
magnetic tile fort set,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,6
lifesize magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,13
building magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,16
large magnetic tiles for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,25
life size magna tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,120
superspace discount,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,3
superspace reviews,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,33
magnetic fort building,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,66
forts for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,99
large magnetic tiles for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,27
space magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,8
superspace magnetic tiles,SUP | US | Search | Brand Superspace 6/2 700 Test Brand Inclusion,Search,35
superspace com,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,36
superspace magnatiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,25
fort builder,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,131
magnetic building cubes,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,17
magnetic fort builder,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,39
